"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200002,"LAL",1610612747,0.575,0.246,0.719,0.482,18.644,19.6,0.479,0.519,1,0.197,"Lakers","Los Angeles",240,92.4,97.3,105.9,107,-13.6,-9.6,1.05,15.3,117.06,113.5,94.58,112,0.452
"team",22200002,"GSW",1610612744,0.689,0.281,0.754,0.518,15.501,15.7,0.535,0.564,1,0.198,"Warriors","Golden State",240,105.9,107,92.4,97.3,13.6,9.6,1.72,19.6,117.06,113.5,94.58,115,0.548
"team",22200001,"PHI",1610612755,0.4,0.19,0.744,0.457,13.683,14.3,0.581,0.634,1,0.192,"76ers","Philadelphia",240,114.3,119.4,126.9,129.9,-12.5,-10.5,1.14,13.1,100.82,97.5,81.25,98,0.434
"team",22200001,"BOS",1610612738,0.522,0.256,0.81,0.543,11.075,11.3,0.634,0.668,1,0.197,"Celtics","Boston",240,126.9,129.9,114.3,119.4,12.5,10.5,2.18,18.6,100.82,97.5,81.25,97,0.566
"team",22200005,"HOU",1610612745,0.595,0.304,0.872,0.563,15.152,15.1,0.474,0.511,1,0.199,"Rockets","Houston",240,101.3,100.9,110.8,110.4,-9.5,-9.4,1.56,17.2,105.58,106,88.33,106,0.428
"team",22200005,"ATL",1610612737,0.667,0.128,0.696,0.437,8.526,8.5,0.539,0.582,1,0.201,"Hawks","Atlanta",240,110.8,110.4,101.3,100.9,9.5,9.4,3.33,21.5,105.58,106,88.33,106,0.572
"team",22200003,"ORL",1610612753,0.5,0.277,0.707,0.514,17.585,17.6,0.552,0.578,1,0.199,"Magic","Orlando",240,106.5,106.9,107,111.9,-0.6,-5,1.17,15.7,103.96,101.5,84.58,102,0.475
"team",22200003,"DET",1610612765,0.775,0.293,0.723,0.486,12.315,12.9,0.5,0.54,1,0.197,"Pistons","Detroit",240,107,111.9,106.5,106.9,0.6,5,2.38,20.9,103.96,101.5,84.58,101,0.525
"team",22200007,"MIA",1610612748,0.568,0.196,0.696,0.471,18.389,18.1,0.538,0.585,1,0.201,"Heat","Miami",240,104.5,102.9,107.1,110.5,-2.6,-7.6,1.11,15.9,105.82,105,87.5,105,0.478
"team",22200007,"CHI",1610612741,0.561,0.304,0.804,0.529,13.848,14.3,0.511,0.551,1,0.198,"Bulls","Chicago",240,107.1,110.5,104.5,102.9,2.6,7.6,1.53,16,105.82,105,87.5,105,0.522
"team",22200009,"NYK",1610612752,0.636,0.324,0.6,0.464,10.819,11.3,0.445,0.479,1,0.195,"Knicks","New York",265,101,105.7,102.6,107.5,-1.6,-1.8,2.33,17.8,101,96.45,80.38,106,0.471
"team",22200009,"MEM",1610612763,0.643,0.4,0.676,0.536,12.487,13.1,0.468,0.487,1,0.198,"Grizzlies","Memphis",265,102.6,107.5,101,105.7,1.6,1.8,1.93,17,101,96.45,80.38,107,0.529
"team",22200011,"SAS",1610612759,0.55,0.295,0.667,0.459,13.731,14.3,0.439,0.471,1,0.2,"Spurs","San Antonio",240,93.4,97.1,122.7,120.6,-29.3,-23.4,1.47,15.1,107.18,106,88.33,105,0.368
"team",22200011,"CHA",1610612766,0.542,0.333,0.705,0.541,14.269,14,0.58,0.619,1,0.2,"Hornets","Charlotte",240,122.7,120.6,93.4,97.1,29.3,23.4,1.73,17.9,107.18,106,88.33,107,0.632
"team",22200008,"TOR",1610612761,0.528,0.321,0.805,0.532,12.861,13.1,0.494,0.54,1,0.202,"Raptors","Toronto",240,106.8,109.1,107,106.1,-0.2,3,1.46,14.4,99.6,99,82.5,99,0.479
"team",22200008,"CLE",1610612739,0.658,0.195,0.679,0.468,17.326,17.2,0.558,0.603,1,0.202,"Cavaliers","Cleveland",240,107,106.1,106.8,109.1,0.2,-3,1.47,19.4,99.6,99,82.5,99,0.521
"team",22200010,"OKC",1610612760,0.579,0.317,0.7,0.504,13.123,13.1,0.455,0.497,1,0.199,"Thunder","Oklahoma City",240,101.2,100.9,106,109.5,-4.7,-8.6,1.57,15.2,107.6,106,88.33,107,0.452
"team",22200010,"MIN",1610612750,0.641,0.3,0.683,0.496,12.901,13.3,0.468,0.53,1,0.201,"Timberwolves","Minnesota",240,106,109.5,101.2,100.9,4.7,8.6,1.79,16.9,107.6,106,88.33,105,0.548
"team",22200013,"PHX",1610612756,0.625,0.255,0.783,0.516,12.161,12.8,0.518,0.565,1,0.197,"Suns","Phoenix",240,108.4,113.8,108.3,110.5,0.1,3.3,2.08,19,97.82,94.5,78.75,94,0.515
"team",22200013,"DAL",1610612742,0.486,0.217,0.745,0.484,12.376,12.6,0.56,0.584,1,0.2,"Mavericks","Dallas",240,108.3,110.5,108.4,113.8,-0.1,-3.3,1.42,14.3,97.82,94.5,78.75,95,0.485
"team",22200014,"SAC",1610612758,0.692,0.234,0.736,0.5,15.186,15.8,0.559,0.578,1,0.199,"Kings","Sacramento",240,102.5,106.9,112.2,113.9,-9.7,-6.9,1.69,19.8,103.94,101,84.17,101,0.474
"team",22200014,"POR",1610612757,0.513,0.264,0.766,0.5,10.73,10.9,0.506,0.561,1,0.199,"Trail Blazers","Portland",240,112.2,113.9,102.5,106.9,9.7,6.9,1.82,15,103.94,101,84.17,101,0.526
"team",22200004,"WAS",1610612764,0.5,0.353,0.71,0.549,16.105,16.2,0.516,0.556,1,0.199,"Wizards","Washington",240,108,108.6,97.9,102.9,10,5.7,1.24,14.9,107.4,104.5,87.08,105,0.576
"team",22200004,"IND",1610612754,0.538,0.29,0.647,0.451,13.731,14.4,0.479,0.504,1,0.2,"Pacers","Indiana",240,97.9,102.9,108,108.6,-10,-5.7,1.4,14.8,107.4,104.5,87.08,104,0.424
"team",22200006,"NOP",1610612740,0.62,0.429,0.774,0.596,12.381,12.7,0.549,0.575,1,0.195,"Pelicans","New Orleans",240,123.8,127.5,101.4,105.9,22.5,21.6,2.38,19.7,105.78,102,85,102,0.608
