"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200806,"MIN",1610612750,0.521,0.212,0.175,"Timberwolves","Minnesota",240,0.345,0.437
"team",22200806,"DEN",1610612743,0.609,0.104,0.186,"Nuggets","Denver",240,0.437,0.345
"team",22200802,"ORL",1610612753,0.614,0.15,0.209,"Magic","Orlando",240,0.33,0.277
"team",22200802,"CHA",1610612766,0.505,0.122,0.392,"Hornets","Charlotte",240,0.277,0.33
"team",22200803,"IND",1610612754,0.608,0.13,0.279,"Pacers","Indiana",240,0.239,0.182
"team",22200803,"CLE",1610612739,0.478,0.127,0.286,"Cavaliers","Cleveland",240,0.182,0.239
"team",22200805,"TOR",1610612761,0.551,0.2,0.214,"Raptors","Toronto",240,0.119,0.295
"team",22200805,"MEM",1610612763,0.49,0.104,0.356,"Grizzlies","Memphis",240,0.295,0.119
"team",22200804,"PHI",1610612755,0.506,0.127,0.288,"76ers","Philadelphia",240,0.486,0.494
"team",22200804,"NYK",1610612752,0.453,0.128,0.208,"Knicks","New York",240,0.494,0.486
"team",22200807,"SAC",1610612758,0.647,0.111,0.357,"Kings","Sacramento",240,0.329,0.4
"team",22200807,"NOP",1610612740,0.494,0.153,0.26,"Pelicans","New Orleans",240,0.4,0.329
"team",22200815,"POR",1610612757,0.632,0.152,0.233,"Trail Blazers","Portland",240,0.319,0.241
"team",22200815,"MIL",1610612749,0.456,0.081,0.14,"Bucks","Milwaukee",240,0.241,0.319
"team",22200814,"OKC",1610612760,0.711,0.152,0.295,"Thunder","Oklahoma City",240,0.231,0.072
"team",22200814,"GSW",1610612744,0.544,0.106,0.208,"Warriors","Golden State",240,0.072,0.231
"team",22200813,"UTA",1610612762,0.551,0.142,0.408,"Jazz","Utah",240,0.299,0.352
"team",22200813,"DAL",1610612742,0.506,0.128,0.298,"Mavericks","Dallas",240,0.352,0.299
"team",22200812,"SAC",1610612758,0.574,0.138,0.362,"Kings","Sacramento",240,0.202,0.273
"team",22200812,"HOU",1610612745,0.702,0.1,0.231,"Rockets","Houston",240,0.273,0.202
"team",22200811,"SAS",1610612759,0.596,0.131,0.175,"Spurs","San Antonio",240,0.189,0.281
"team",22200811,"CHI",1610612741,0.489,0.164,0.176,"Bulls","Chicago",240,0.281,0.189
"team",22200810,"LAC",1610612746,0.583,0.157,0.174,"Clippers","LA",240,0.326,0.262
"team",22200810,"BKN",1610612751,0.543,0.087,0.275,"Nets","Brooklyn",240,0.262,0.326
"team",22200808,"DET",1610612765,0.566,0.127,0.234,"Pistons","Detroit",240,0.241,0.253
"team",22200808,"BOS",1610612738,0.477,0.094,0.189,"Celtics","Boston",240,0.253,0.241
"team",22200809,"WAS",1610612764,0.641,0.176,0.211,"Wizards","Washington",240,0.232,0.256
"team",22200809,"CLE",1610612739,0.463,0.144,0.184,"Cavaliers","Cleveland",240,0.256,0.232
"team",22200821,"OKC",1610612760,0.659,0.188,0.22,"Thunder","Oklahoma City",240,0.213,0.306
"team",22200821,"LAL",1610612747,0.612,0.119,0.196,"Lakers","Los Angeles",240,0.306,0.213
"team",22200816,"ORL",1610612753,0.549,0.123,0.298,"Magic","Orlando",240,0.304,0.235
"team",22200816,"NYK",1610612752,0.506,0.12,0.244,"Knicks","New York",240,0.235,0.304
"team",22200819,"MEM",1610612763,0.408,0.185,0.344,"Grizzlies","Memphis",240,0.259,0.31
"team",22200819,"CHI",1610612741,0.549,0.141,0.111,"Bulls","Chicago",240,0.31,0.259
"team",22200818,"NOP",1610612740,0.518,0.122,0.3,"Pelicans","New Orleans",240,0.231,0.294
"team",22200818,"ATL",1610612737,0.56,0.103,0.333,"Hawks","Atlanta",240,0.294,0.231
"team",22200817,"PHX",1610612756,0.538,0.162,0.209,"Suns","Phoenix",240,0.304,0.392
"team",22200817,"BKN",1610612751,0.516,0.145,0.353,"Nets","Brooklyn",240,0.392,0.304
"team",22200820,"MIN",1610612750,0.694,0.102,0.237,"Timberwolves","Minnesota",240,0.306,0.237
"team",22200820,"DEN",1610612743,0.529,0.161,0.191,"Nuggets","Denver",240,0.237,0.306
"team",22200828,"UTA",1610612762,0.689,0.105,0.286,"Jazz","Utah",240,0.2,0.082
"team",22200828,"MIN",1610612750,0.476,0.079,0.355,"Timberwolves","Minnesota",240,0.082,0.2
"team",22200827,"SAC",1610612758,0.605,0.186,0.436,"Kings","Sacramento",240,0.326,0.326
"team",22200827,"HOU",1610612745,0.554,0.086,0.271,"Rockets","Houston",240,0.326,0.326
"team",22200826,"TOR",1610612761,0.454,0.148,0.218,"Raptors","Toronto",240,0.239,0.31
"team",22200826,"SAS",1610612759,0.545,0.162,0.255,"Spurs","San Antonio",240,0.31,0.239
"team",22200824,"PHI",1610612755,0.651,0.166,0.211,"76ers","Philadelphia",240,0.241,0.132
"team",22200824,"BOS",1610612738,0.506,0.077,0.196,"Celtics","Boston",240,0.132,0.241
"team",22200825,"MIA",1610612748,0.583,0.114,0.174,"Heat","Miami",240,0.494,0.359
"team",22200825,"IND",1610612754,0.506,0.138,0.349,"Pacers","Indiana",240,0.359,0.494
"team",22200822,"DET",1610612765,0.529,0.133,0.447,"Pistons","Detroit",240,0.222,0.287
"team",22200822,"CLE",1610612739,0.42,0.149,0.25,"Cavaliers","Cleveland",240,0.287,0.222
"team",22200830,"POR",1610612757,0.582,0.107,0.269,"Trail Blazers","Portland",240,0.41,0.103
"team",22200830,"GSW",1610612744,0.603,0.208,0.371,"Warriors","Golden State",240,0.103,0.41
