"typeResult","idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
"team",22200399,"PHI",1610612755,"76ers","Philadelphia",240,19,5,19,56,18,27,22,50,6,3,24,24
"team",22200399,"CHA",1610612766,"Hornets","Charlotte",240,18,27,22,50,19,5,19,56,3,6,24,24
"team",22200403,"WAS",1610612764,"Wizards","Washington",240,10,6,10,40,21,10,20,48,2,7,16,20
"team",22200403,"BKN",1610612751,"Nets","Brooklyn",240,21,10,20,48,10,6,10,40,7,2,20,16
"team",22200408,"LAC",1610612746,"Clippers","LA",240,12,16,14,46,8,9,1,46,2,6,26,17
"team",22200408,"BOS",1610612738,"Celtics","Boston",240,8,9,1,46,12,16,14,46,6,2,17,26
"team",22200407,"POR",1610612757,"Trail Blazers","Portland",240,9,12,24,48,21,4,17,60,4,2,21,19
"team",22200407,"MIN",1610612750,"Timberwolves","Minnesota",240,21,4,17,60,9,12,24,48,2,4,19,21
"team",22200405,"OKC",1610612760,"Thunder","Oklahoma City",240,20,13,17,52,14,24,9,32,1,3,22,19
"team",22200405,"DAL",1610612742,"Mavericks","Dallas",240,14,24,9,32,20,13,17,52,3,1,19,22
"team",22200406,"SAS",1610612759,"Spurs","San Antonio",240,18,21,6,52,21,14,10,58,2,7,19,13
"team",22200406,"CLE",1610612739,"Cavaliers","Cleveland",240,21,14,10,58,18,21,6,52,7,2,13,19
"team",22200404,"MEM",1610612763,"Grizzlies","Memphis",240,27,17,19,72,18,17,10,42,12,1,17,17
"team",22200404,"ATL",1610612737,"Hawks","Atlanta",240,18,17,10,42,27,17,19,72,1,12,17,17
"team",22200402,"MIA",1610612748,"Heat","Miami",240,19,8,6,38,10,14,12,28,2,11,17,18
"team",22200402,"IND",1610612754,"Pacers","Indiana",240,10,14,12,28,19,8,6,38,11,2,18,17
"team",22200410,"MIL",1610612749,"Bucks","Milwaukee",240,20,12,16,48,19,10,7,30,5,2,18,22
"team",22200410,"GSW",1610612744,"Warriors","Golden State",240,19,10,7,30,20,12,16,48,2,5,22,18
"team",22200412,"UTA",1610612762,"Jazz","Utah",240,26,22,12,64,22,22,10,60,10,3,23,17
"team",22200412,"NOP",1610612740,"Pelicans","New Orleans",240,22,22,10,60,26,22,12,64,3,10,17,23
"team",22200413,"LAL",1610612747,"Lakers","Los Angeles",265,23,8,26,68,25,13,16,46,9,2,17,22
"team",22200413,"BOS",1610612738,"Celtics","Boston",265,25,13,16,46,23,8,26,68,2,9,22,17
"team",22200411,"PHX",1610612756,"Suns","Phoenix",240,26,14,21,30,13,20,21,40,7,9,24,21
"team",22200411,"HOU",1610612745,"Rockets","Houston",240,13,20,21,40,26,14,21,30,9,7,21,24
"team",22200409,"SAC",1610612758,"Kings","Sacramento",240,7,26,21,52,25,7,23,44,4,4,22,21
"team",22200409,"PHI",1610612755,"76ers","Philadelphia",240,25,7,23,44,7,26,21,52,4,4,21,22
"team",22200421,"DAL",1610612742,"Mavericks","Dallas",240,10,6,0,26,19,8,7,52,3,2,15,20
"team",22200421,"CLE",1610612739,"Cavaliers","Cleveland",240,19,8,7,52,10,6,0,26,2,3,20,15
