"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200002,"LAL",1610612747,0.535,0.155,0.281,"Lakers","Los Angeles",240,0.266,0.232
"team",22200002,"GSW",1610612744,0.479,0.186,0.246,"Warriors","Golden State",240,0.232,0.266
"team",22200001,"PHI",1610612755,0.634,0.111,0.256,"76ers","Philadelphia",240,0.35,0.341
"team",22200001,"BOS",1610612738,0.581,0.137,0.19,"Celtics","Boston",240,0.341,0.35
"team",22200005,"HOU",1610612745,0.539,0.085,0.128,"Rockets","Houston",240,0.153,0.267
"team",22200005,"ATL",1610612737,0.474,0.152,0.304,"Hawks","Atlanta",240,0.267,0.153
"team",22200003,"ORL",1610612753,0.5,0.123,0.293,"Magic","Orlando",240,0.221,0.255
"team",22200003,"DET",1610612765,0.552,0.176,0.277,"Pistons","Detroit",240,0.255,0.221
"team",22200007,"MIA",1610612748,0.511,0.138,0.304,"Heat","Miami",240,0.35,0.301
"team",22200007,"CHI",1610612741,0.538,0.184,0.196,"Bulls","Chicago",240,0.301,0.35
"team",22200009,"NYK",1610612752,0.468,0.125,0.4,"Knicks","New York",265,0.165,0.213
"team",22200009,"MEM",1610612763,0.445,0.108,0.324,"Grizzlies","Memphis",265,0.213,0.165
"team",22200011,"SAS",1610612759,0.58,0.143,0.333,"Spurs","San Antonio",240,0.212,0.245
"team",22200011,"CHA",1610612766,0.439,0.137,0.295,"Hornets","Charlotte",240,0.245,0.212
"team",22200008,"TOR",1610612761,0.558,0.173,0.195,"Raptors","Toronto",240,0.372,0.299
"team",22200008,"CLE",1610612739,0.494,0.129,0.321,"Cavaliers","Cleveland",240,0.299,0.372
"team",22200010,"OKC",1610612760,0.468,0.129,0.3,"Thunder","Oklahoma City",240,0.222,0.351
"team",22200010,"MIN",1610612750,0.455,0.131,0.317,"Timberwolves","Minnesota",240,0.351,0.222
"team",22200013,"PHX",1610612756,0.56,0.124,0.217,"Suns","Phoenix",240,0.259,0.453
