"typeResult","idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
"team",22200002,"LAL",1610612747,"Lakers","Los Angeles",240,17,4,27,60,27,10,17,38,4,4,18,23
"team",22200002,"GSW",1610612744,"Warriors","Golden State",240,27,10,17,38,17,4,27,60,4,4,23,18
"team",22200001,"PHI",1610612755,"76ers","Philadelphia",240,15,8,2,38,22,4,24,44,3,3,25,24
"team",22200001,"BOS",1610612738,"Celtics","Boston",240,22,4,24,44,15,8,2,38,3,3,24,25
"team",22200005,"HOU",1610612745,"Rockets","Houston",240,13,14,10,60,28,8,28,56,3,5,20,18
"team",22200005,"ATL",1610612737,"Hawks","Atlanta",240,28,8,28,56,13,14,10,60,5,3,18,20
"team",22200003,"ORL",1610612753,"Magic","Orlando",240,15,16,23,56,24,16,18,46,5,4,24,21
"team",22200003,"DET",1610612765,"Pistons","Detroit",240,24,16,18,46,15,16,23,56,4,5,21,24
"team",22200007,"MIA",1610612748,"Heat","Miami",240,12,15,8,48,17,11,8,32,2,6,24,26
"team",22200007,"CHI",1610612741,"Bulls","Chicago",240,17,11,8,32,12,15,8,48,6,2,26,24
"team",22200009,"NYK",1610612752,"Knicks","New York",265,16,19,19,68,11,20,21,48,5,7,26,17
"team",22200009,"MEM",1610612763,"Grizzlies","Memphis",265,11,20,21,48,16,19,19,68,7,5,17,26
"team",22200011,"SAS",1610612759,"Spurs","San Antonio",240,22,12,10,58,25,15,15,54,8,10,19,20
"team",22200011,"CHA",1610612766,"Hornets","Charlotte",240,25,15,15,54,22,12,10,58,10,8,20,19
"team",22200008,"TOR",1610612761,"Raptors","Toronto",240,25,18,20,36,20,4,7,52,4,5,23,21
"team",22200008,"CLE",1610612739,"Cavaliers","Cleveland",240,20,4,7,52,25,18,20,36,5,4,21,23
"team",22200010,"OKC",1610612760,"Thunder","Oklahoma City",240,21,22,17,38,18,24,10,50,6,5,26,21
"team",22200010,"MIN",1610612750,"Timberwolves","Minnesota",240,18,24,10,50,21,22,17,38,5,6,21,26
"team",22200013,"PHX",1610612756,"Suns","Phoenix",240,18,13,9,56,14,9,9,36,5,4,29,22
"team",22200013,"DAL",1610612742,"Mavericks","Dallas",240,14,9,9,36,18,13,9,56,4,5,22,29
"team",22200014,"SAC",1610612758,"Kings","Sacramento",240,17,16,19,38,18,19,20,56,5,2,25,17
"team",22200014,"POR",1610612757,"Trail Blazers","Portland",240,18,19,20,56,17,16,19,38,2,5,17,25
"team",22200004,"WAS",1610612764,"Wizards","Washington",240,10,14,16,58,16,17,21,34,10,5,19,20
"team",22200004,"IND",1610612754,"Pacers","Indiana",240,16,17,21,34,10,14,16,58,5,10,20,19
"team",22200006,"NOP",1610612740,"Pelicans","New Orleans",240,26,36,13,62,17,4,18,46,4,10,21,25
"team",22200006,"BKN",1610612751,"Nets","Brooklyn",240,17,4,18,46,26,36,13,62,10,4,25,21
"team",22200012,"UTA",1610612762,"Jazz","Utah",240,34,26,10,42,25,10,19,68,1,3,21,23
"team",22200012,"DEN",1610612743,"Nuggets","Denver",240,25,10,19,68,34,26,10,42,3,1,23,21
"team",22200016,"LAL",1610612747,"Lakers","Los Angeles",240,21,8,15,40,10,14,16,36,5,7,24,24
"team",22200016,"LAC",1610612746,"Clippers","LA",240,10,14,16,36,21,8,15,40,7,5,24,24
"team",22200015,"PHI",1610612755,"76ers","Philadelphia",240,13,5,14,48,12,7,17,30,5,6,14,16
"team",22200015,"MIL",1610612749,"Bucks","Milwaukee",240,12,7,17,30,13,5,14,48,6,5,16,14
"team",22200019,"WAS",1610612764,"Wizards","Washington",240,17,4,13,44,16,15,6,34,8,3,22,15
"team",22200019,"CHI",1610612741,"Bulls","Chicago",240,16,15,6,34,17,4,13,44,3,8,15,22
"team",22200020,"ORL",1610612753,"Magic","Orlando",240,11,12,8,46,24,9,26,44,7,2,19,22
"team",22200020,"ATL",1610612737,"Hawks","Atlanta",240,24,9,26,44,11,12,8,46,2,7,22,19
"team",22200022,"MIA",1610612748,"Heat","Miami",240,23,14,6,46,18,21,12,52,3,11,18,23
"team",22200022,"BOS",1610612738,"Celtics","Boston",240,18,21,12,52,23,14,6,46,11,3,23,18
"team",22200021,"TOR",1610612761,"Raptors","Toronto",240,24,9,18,46,17,13,9,38,4,13,21,19
"team",22200021,"BKN",1610612751,"Nets","Brooklyn",240,17,13,9,38,24,9,18,46,13,4,19,21
"team",22200024,"MEM",1610612763,"Grizzlies","Memphis",240,16,17,16,48,16,23,11,50,10,6,21,22
"team",22200024,"HOU",1610612745,"Rockets","Houston",240,16,23,11,50,16,17,16,48,6,10,22,21
"team",22200023,"NYK",1610612752,"Knicks","New York",240,21,17,20,58,14,18,15,52,6,2,26,21
"team",22200023,"DET",1610612765,"Pistons","Detroit",240,14,18,15,52,21,17,20,58,2,6,21,26
"team",22200017,"NOP",1610612740,"Pelicans","New Orleans",240,24,16,15,62,18,14,15,48,7,4,14,24
"team",22200017,"CHA",1610612766,"Hornets","Charlotte",240,18,14,15,48,24,16,15,62,4,7,24,14
"team",22200018,"SAS",1610612759,"Spurs","San Antonio",240,20,15,20,42,19,22,20,70,4,6,22,34
